|-----------------|--------------------|--------------------|-----|
| Response        | stt                | tts                | llm |
|-----------------|--------------------|--------------------|-----|
| Response num: 0 | 1.8364429473876955 | 1.1442031860351562 |     |
|-----------------|--------------------|--------------------|-----|
|                 | 0.8236846923828125 |                    |     |
|-----------------|--------------------|--------------------|-----|
| Response num: 1 |                    |                    |     |
|-----------------|--------------------|--------------------|-----|
|                 |                    |                    | 0.0 |
|-----------------|--------------------|--------------------|-----|
|                 |                    |  1.252577304840088 |     |
|-----------------|--------------------|--------------------|-----|
|                 |                    |  1.117253303527832 |     |
|-----------------|--------------------|--------------------|-----|
|                 | 0.9425168037414552 |                    |     |
|-----------------|--------------------|--------------------|-----|
| Response num: 2 |                    |                    |     |
|-----------------|--------------------|--------------------|-----|
|                 |                    |                    | 0.0 |
|-----------------|--------------------|--------------------|-----|
|                 |                    |  0.955618381500244 |     |
|-----------------|--------------------|--------------------|-----|
|                 |                    |  2.379061222076416 |     |
|-----------------|--------------------|--------------------|-----|
